subject_type,subject_id,relation,object_type,object_id
user,john@acme.com,member_of,team,platform
user,jane@acme.com,member_of,team,platform
user,mike@acme.com,member_of,team,sales
team,platform,can_deploy,service,api
team,platform,can_view,logs,production
team,sales,can_view,dashboard,revenue
user,john@acme.com,leads,team,platform
user,sarah@acme.com,leads,team,sales
team,platform,part_of,department,engineering
team,sales,part_of,department,revenue
department,engineering,can_access,resource,staging
department,revenue,can_access,resource,crm
user,john@acme.com,owns,project,microservices
project,microservices,contains,service,api
project,microservices,contains,service,auth
user,jane@acme.com,contributes_to,project,microservices
user,admin@acme.com,admin_of,org,acme-corp
org,acme-corp,owns,department,engineering
org,acme-corp,owns,department,revenue
