subject_type,subject_id,relation,object_type,object_id
user,alice,owns,document,doc1
user,alice,member_of,group,engineering
group,engineering,can_view,document,doc2
user,bob,works_at,org,acme
org,acme,owns,project,project-x
project,project-x,contains,document,doc3
user,alice,manages,user,charlie
user,charlie,owns,document,doc4
user,bob,member_of,group,engineering
user,charlie,member_of,group,engineering
group,engineering,can_edit,document,doc5
user,alice,admin_of,org,acme
org,acme,can_view,resource,dashboard
user,bob,can_view,document,doc1
user,eve,member_of,group,contractors
group,contractors,can_view,document,doc2
user,eve,can_view,resource,public-api
